input,output
21027,30726
20105,30808
20114,30818
20206,30809
20208,30811
20214,30819
20221,30824
20306,30810
20326,30827
20403,30802
20408,30815
20409,30820
20411,30822
20502,30803
20505,30812
20518,30823
20525,30826
20604,30804
20605,30806
20608,30813
20611,30821
20702,30807
20725,30825
20802,30801
20808,30805
20817,30816
20905,30814
20928,30817
20104,30907
20108,30912
20115,30921
20116,30923
20118,30924
20121,30925
20203,30905
20207,30909
20305,30908
20313,30922
20404,30904
20425,30927
20501,30901
20512,30919
20603,30903
20607,30914
20706,30913
20710,30918
20721,30926
20804,30902
20809,30906
20812,30911
20908,30916
20909,30917
20912,30920
21008,30910
21013,30915
20122,31022
20123,31023
20201,31004
20209,31007
20223,31021
20314,31012
20325,31027
20402,31002
20419,31020
20424,31024
20507,31009
20526,31026
20527,31008
20619,31015
20718,31016
20719,31017
20720,31018
20801,31001
20810,31005
20811,31006
20826,31025
20906,31011
20922,31019
21002,31003
21015,31010
21020,31013
21021,31014
10601,20101
10502,20102
10305,20103
11004,20104
10905,20105
10907,20106
10407,20107
10210,20108
10312,20109
10313,20110
10511,20111
10916,20112
11013,20113
10610,20114
10825,20115
10111,20116
10215,20117
10716,20118
10717,20119
10217,20120
10419,20121
11022,20122
11023,20123
10819,20124
10402,20201
10702,20202
11002,20203
21029,20204
10405,20205
10706,20206
10504,20207
11009,20208
10209,20209
10509,20210
10606,20211
11012,20212
10713,20213
10614,20214
10921,20215
10813,20216
10218,20217
10720,20218
10817,20219
10222,20220
10324,20221
10122,20222
10523,20223
10306,20301
11005,20302
10105,20303
10106,20304
10107,20305
10605,20306
10911,20307
10412,20308
10914,20309
10314,20310
10213,20311
10113,20312
10812,20313
10317,20314
10216,20315
10320,20316
10219,20317
10618,20318
10814,20319
10620,20320
11024,20321
11025,20322
10522,20323
10524,20324
10401,20401
10201,20402
10902,20403
10704,20404
11007,20405
10207,20406
10311,20407
10709,20408
11014,20409
10611,20410
11020,20411
10115,20412
10323,20413
10815,20414
10619,20415
10120,20416
10422,20417
10924,20418
10722,20419
10623,20420
10124,20421
10624,20422
10823,20423
10824,20424
10303,20501
10503,20502
11003,20503
10406,20504
10603,20505
10505,20506
10909,20507
10806,20508
10910,20509
10208,20510
10608,20511
10808,20512
10513,20513
10214,20514
10809,20515
10715,20516
11018,20517
10114,20518
10920,20519
10119,20520
10818,20521
10121,20522
10520,20523
10721,20524
10801,20601
10101,20602
10403,20603
10404,20604
10302,20605
10304,20606
11006,20607
11008,20608
10108,20609
10206,20610
10604,20611
10506,20612
10507,20613
10411,20614
10915,20615
10919,20616
10318,20617
10420,20618
10525,20619
10622,20620
10723,20621
10820,20622
10423,20623
10901,20701
10903,20702
10904,20703
10703,20704
10602,20705
10308,20706
10906,20707
10908,20708
10705,20709
10409,20710
10410,20711
10413,20712
10510,20713
10414,20714
10109,20715
10315,20716
11017,20717
10425,20718
10718,20719
10719,20720
10321,20721
10322,20722
10724,20723
10102,20801
10203,20802
10803,20803
10204,20804
11010,20805
10508,20806
10913,20807
10607,20808
10711,20809
10211,20810
10918,20811
10714,20812
10416,20813
11019,20814
10616,20815
10421,20816
10617,20817
10117,20818
10118,20819
10220,20820
10518,20821
10821,20822
10521,20823
10224,20824
10701,20901
10501,20902
10202,20903
11001,20904
10104,20905
10309,20906
10805,20907
10205,20908
10408,20909
10807,20910
10514,20911
10212,20912
10110,20913
11016,20914
10415,20915
10612,20916
10319,20917
10922,20918
10221,20919
10816,20920
10519,20921
10621,20922
10424,20923
10301,21001
10307,21002
10804,21003
10707,21004
10708,21005
10712,21006
11011,21007
10512,21008
10609,21009
10917,21010
11015,21011
10515,21012
10112,21013
10316,21014
10516,21015
10811,21016
10417,21017
10613,21018
10615,21019
10418,21020
11021,21021
10116,21022
10822,21023
10925,21024
